BMI,region
18.26259774,2
21.85223725,2
21.09375,2
20.504934,2
25.35903283,2
23.60945866,2
21.70473447,2
24.69040546,3
24.94433717,3
18.17776788,3
19.81405274,3
23.61275089,3
22.06919967,3
22.05219018,3
25.15315023,3
26.63495838,3
21.29831596,3
23.73866213,3
24.45606342,3
22.03856749,3
19.3359375,3
26.7299275,3
17.84651993,3
16.95625667,3
19.72386588,3
19.56823633,3
21.20099137,3
24.81959048,3
24.38652644,3
23.12467037,3
19.67625461,3
22.22222222,3
23.42209073,3
24.97398543,3
25.2825699,3
29.3523545,3
20.51508648,3
25.86451247,3
26.19618735,3
24.76756592,3
21.71925011,3
31.08590632,3
19.140625,3
24.55775234,3
22.89281998,3
18.63335954,3
20.69049454,3
22.05805119,3
19.67516685,3
20.9572742,3
20.9839876,3
23.14049587,3
22.54136252,3
22.72189349,3
19.09481126,3
20.65754,3
23.66963061,3
25.5036157,3
24.44937541,3
24.97398543,3
22.2136785,3
18.90359168,3
22.43788735,3
19.49317739,3
20.91070816,3
21.67164025,3
21.10726644,3
21.875,3
17.22480372,3
25.07619305,3
20.42941836,3
25.35154137,3
22.4996371,3
24.03460984,3
22.09197027,3
22.03856749,3
26.07897153,3
26.2295082,3
18.73048907,3
24.43518667,3
26.95568114,3
21.83143727,3
26.26262626,3
22.66666667,3
17.85062274,3
26.0261749,3
22.83287935,3
17.0245153,3
26.29848784,3
26.48553975,3
30.18959063,3
22.86253448,3
20.42941836,3
18.35598129,3
19.71332153,3
18.93877551,3
23.25501864,3
30.42719786,3
22.30935641,3
22.07409972,3
20.95717116,3
22.94811574,3
23.71184463,3
17.50996256,3
20.69049454,3
23.44687029,4
22.12973973,4
25.390625,4
24.34175829,4
20.58142526,4
30.757401,4
22.89281998,4
21.79930796,4
27.39091856,4
18.81892431,4
19.06771066,4
24.40007858,4
24.72212333,4
25.33783784,4
21.30394858,4
23.68288766,4
21.92886277,4
22.50692521,4
19.65056175,4
24.24242424,4
20.82999519,4
24.76756592,4
16.69327914,4
18.54371378,4
22.85714286,4
24.24523528,4
25.1610008,4
18.59012493,4
23.12467037,4
21.63114885,4
20.38023699,4
21.09619051,4
18.13201651,4
22.42904657,4
22.7895727,4
25.96940398,4
30.47796622,4
25.51323128,4
38.12262414,4
24.67702134,4
28.95900015,4
22.03172568,4
27.45865421,4
23.7953599,4
26.37023814,4
23.58832922,4
17.89802289,4
23.73995617,4
25.96454217,4
27.66009594,4
25.8022143,4
20.83252961,4
23.7332384,4
24.97704316,4
26.57537949,4
26.37023814,4
25.6311675,4
24.84098009,4
29.34911243,4
29.41176471,4
24.13267528,4
30.35925114,4
26.00906435,4
22.55861022,4
24.19649379,4
26.03749399,4
31.00559952,4
25.32446977,4
30.35975164,4
23.62723083,4
23.183391,4
26.72287252,4
18.19548277,4
26.9787821,4
24.52434635,4
29.76086271,4
21.22788762,4
21.09683647,4
24.08822312,4
27.69928614,4
22.0603538,4
22.265625,4
29.75778547,4
25.224089,4
22.76943835,4
22.03856749,4
25.55006338,4
20.5126275,4
21.03028361,4
22.265625,4
23.23345618,4
29.50281927,4
25.37278107,4
25.20920136,4
26.98600101,4
26.75321258,4
25.84770262,4
27.5147532,4
21.35991456,4
20.96436059,4
24.20309082,4
22.2136785,5
26.25091308,5
24.97398543,5
26.2226847,5
23.7332384,5
22.83287935,5
20.02884153,5
20.70081674,5
23.1206236,5
25.5367036,5
20.13624901,5
25.33333333,5
21.484375,5
27.23054849,5
29.58554137,5
29.16933268,5
29.62672505,5
24.6097337,5
16.97630744,5
25.30456537,5
22.7895727,5
22.58270917,5
33.73250126,5
27.14158239,5
25.72103221,5
24.32322868,5
22.89281998,5
21.92612582,5
21.90758246,5
25.59373706,5
41.11842105,5
25.68956193,5
26.94988806,5
26.98600101,5
27.19178983,5
24.59345066,5
26.72929708,5
23.03654849,5
21.89497378,5
27.26871407,5
24.41339327,5
23.73866213,5
27.99036281,5
30.0432623,5
21.97133586,5
28.71972318,5
29.296875,5
23.96205193,5
24.39482079,5
26.66666667,5
23.49523687,5
25.2825699,5
20.88888889,5
23.50780533,5
22.27530992,5
34.25044224,5
35.99910893,5
23.71184463,5
24.05693475,5
23.3241506,5
25.1825311,5
19.46740129,5
21.80232558,5
